hospital_id,county_id
1336420,1039
1535611,1083
136502,1053
236124,1101
1736111,1101
436693,1097
1836049,1041
2035042,1007
196784204,1073
2135401,1125
8236089,1011
1636083,1087
735233,1073
2836904,1023
3035161,1121
3236251,1027
3336078,1051
3435150,1121
3536049,1041
8435801,1089
91036116,1101
3735055,1043
3836427,1053
836360,1045
935401,1125
3935601,1103
1035601,1103
1135601,1103
4135968,1049
5036854,1017
1236801,1081
4336526,1003
4536092,1051
5835209,1073
2236301,1069
5935903,1055
2336116,1101
90235801,1089
196784285,1117
4636401,1035
4835555,1057
1636302,1069
2735960,1019
4935903,1055
13535243,1073
5235462,1063
5536451,1025
5736744,1065
6035660,1033
6135768,1071
2935212,1073
6236925,1119
6335801,1089
3136607,1097
6436726,1131
6536867,1113
6636106,1101
6736545,1025
6936853,1123
7035565,1133
4236301,1069
8835650,1079
7135758,1089
7335976,1095
9135957,1095
91235402,1125
5136027,1005
5336330,1031
5435021,1073
5636467,1039
13636652,1097
7836461,1099
8035904,1055
8136202,1015
9235261,1117
91336302,1069
91436106,1101
90535401,1125
196784188,1077
13735611,1083
9436507,1003
4735570,1093
91636202,1015
7435476,1125
10035594,1093
7636067,1001
335211,1073
10136685,1097
10235582,1059
4036037,1013
8336867,1113
10335999,1055
10435010,1123
10535653,1059
535259,1073
10735007,1117
10935661,1033
8636535,1003
11036301,1069
11136608,1097
8935205,1073
11235121,1009
172435046,1021
9035235,1073
11635125,1115
11336201,1015
195436278,1111
11536532,1003
11736081,1109
4535401,1125
635233,1073
1935806,1089
11935233,1073
90736604,1097
9836617,1097
9936701,1047
12035502,1127
12236518,1129
91836732,1091
10836340,1061
899508,2020
1799801,2110
699669,2122
1299701,2090
2499645,2170
196784305,2170
1099508,2020
4799503,2020
199508,2020
299508,2020
4699508,2020
196784306,2020
2199574,2063
196784307,2070
499901,2130
2399762,2180
2599833,2195
1699615,2150
599664,2122
2699686,2063
60599723,2185
399603,2122
1999929,2275
60399588,2066
196784308,2016
396799,60010
6985016,4013
16285297,4013
6785541,4007
2085602,4003
2985501,4007
3085603,4003
196784309,4017
2285621,4023
5185344,4012
5286047,4017
196784310,4001
6185643,4003
6586040,4005
9985938,4001
10085390,4013
3185710,4019
196784311,4013
7085203,4013
7685013,4013
7715006,4013
4685711,4019
285723,4019
66785008,4013
64685008,4013
785302,4013
64785283,4013
185585374,4013
1085251,4013
65085929,4017
196784312,4013
14185392,4013
196784179,4019
193985378,4013
3686004,4005
65385007,4013
196784195,4025
66385225,4013
66585712,4019
196784313,4013
16485027,4013
8085704,4019
8385006,4013
196784314,4013
196784283,4015
9385018,4013
10186314,4025
196784315,4013
4785381,4013
14085378,4013
196784181,4013
3985206,4013
65485704,4019
4285260,4013
4185712,4019
65585304,4013
68985258,4013
68786409,4015
65986314,4025
182786001,4005
10585364,4027
64585016,4013
685308,4013
196784316,4013
67485015,4013
196784267,4013
6685032,4013
196784317,4013
9685338,4013
585206,4013
1685006,4013
67785724,4019
985206,4013
1185351,4013
66885222,4021
1285375,4013
1385202,4013
1485037,4013
1585234,4013
64885120,4021
196784318,4013
1785206,4013
1885140,4021
1985306,4013
67885713,4019
16085635,4003
196784265,4019
8685015,4013
196784203,4017
3586503,4001
67185224,4013
16185339,4013
187385212,4013
3286001,4005
10685132,4021
196784319,4001
65285251,4013
3786403,4015
196784320,4013
4485027,4013
4585020,4013
7285251,4013
7385260,4013
7485255,4013
5086409,4015
5685054,4013
5785297,4013
5985209,4013
6085546,4009
66685351,4013
196784322,4019
6385008,4013
6485755,4019
285224,4013
186685248,4013
177585542,4009
14385622,4019
66985711,4019
67685305,4013
8485006,4013
8285013,4013
67085745,4019
8585901,4017
66485281,4013
16385712,4019
4585634,4019
196784323,4005
196784251,4019
9085712,4019
9486426,4015
5485008,4013
9586326,4025
9786442,4015
69985338,4013
10286301,4025
10386314,4025
10485364,4027
64985006,4013
67985724,4019
1572042,5001
971635,5003
272653,5005
196784324,5007
63072758,5007
400000,5007
61572736,5007
172761,5007
572601,5009
671671,5011
1072632,5015
872616,5015
196784286,5017
2271923,5019
2372454,5021
1372543,5023
1871753,5027
2472110,5029
187672401,5031
61272401,5031
3300000,5031
3672401,5031
3472401,5031
3772956,5033
185272301,5035
62572396,5037
2571742,5039
62671639,5041
8971654,5041
169772032,5045
192772034,5045
4472034,5045
4572034,5045
62972949,5047
1172576,5049
5971913,5051
4771913,5051
13571913,5051
1971901,5051
5600000,5051
6272450,5055
6371801,5057
12172104,5059
6600000,5059
64371852,5061
6772501,5063
3572519,5065
61172112,5067
6871603,5069
1472830,5071
4872476,5075
4071822,5081
4972927,5083
5172855,5083
196784207,5085
63771854,5091
5272315,5093
5772370,5093
6171701,5103
7100000,5107
3271953,5113
7272801,5115
63872202,5119
8572211,5119
5300000,5119
63972205,5119
7372205,5119
60972209,5119
5000000,5119
64072205,5119
8672205,5119
7900000,5119
12272205,5119
61772211,5119
5400000,5119
8772113,5119
3072205,5119
6972113,5119
8872455,5121
8172019,5125
9072015,5125
62872958,5127
9172901,5131
62272903,5131
7472901,5131
372903,5131
13772903,5131
61972901,5131
8272923,5131
1200000,5123
1672560,5137
7572031,5141
190372762,5143
2772703,5143
61672703,5143
2972764,5143
9672762,5143
61872764,5143
9372703,5143
9500000,5143
62372143,5145
196784171,5145
10172143,5145
7672833,5149
196784201,5149
196784325,5131
2171653,5017
62172704,5143
29595823,6067
47295642,6005
47395602,6061
51195817,6067
3496150,6017
9795203,6077
10295336,6077
27895249,6009
27995667,6017
10495350,6099
28295355,6099
28795819,6067
12295380,6099
29395608,6067
70695354,6099
19995825,6067
32695361,6099
20795823,6067
48495661,6061
39595231,6077
25495240,6077
48795376,6077
46095204,6077
53195695,6113
47695616,6113
47895816,6067
196784326,6113
43395823,6067
44095370,6109
47495826,6067
16595841,6067
45995204,6077
28995630,6067
23195630,6067
21295336,6077
19895661,6061
43095817,6067
71495355,6099
46995355,6099
44195370,6109
7193612,6019
7293210,6019
8693721,6019
17795338,6043
28193635,6047
27293637,6039
29095340,6047
41493662,6019
293654,6019
44693720,6019
6193638,6039
14093710,6019
8093720,6019
39693720,6019
18793720,6019
13993720,6019
71993420,6079
8593003,6111
13893401,6079
14993111,6083
26193436,6083
26991360,6111
27493454,6083
37393105,6083
32993023,6111
45593010,6111
40893463,6083
43493405,6079
45693030,6111
50493465,6079
51793003,6111
2793001,6111
196784327,6111
74193102,6083
43793065,6111
53391362,6111
40393110,6083
196784328,6083
49691361,6111
392801,6059
5992669,6059
70892868,6059
7792627,6059
13392708,6059
31592680,6059
16892663,6059
17392647,6059
52592804,6059
24392683,6059
7592704,6059
24690623,6059
26490720,6059
24890502,6037
24990242,6037
58690059,6037
196784329,6037
24790033,6037
14192643,6059
30492691,6059
35092670,6059
38392653,6059
38492673,6059
30392677,6059
45892868,6059
46192835,6059
51292668,6059
52792705,6059
52892805,6059
31492663,6059
33192708,6059
196784331,6059
26691342,6037
196784332,6059
196784333,6059
196784334,6059
196784335,6037
71893436,6083
196784336,6059
13492708,6059
196784337,6059
16792718,6059
16192680,6059
6092691,6059
196784338,6059
23792621,6059
196784339,6059
196784340,6059
15992866,6059
196784341,6059
37295116,6085
11995032,6085
8193940,6053
10895065,6087
14593930,6053
15695023,6069
31393906,6053
32495128,6085
38593901,6053
40495128,6085
20295119,6085
15295124,6085
30595032,6085
52495076,6087
196784342,6053
196784343,6085
196784344,6053
46295020,6085
6595008,6085
48095065,6087
27094304,6085
11894040,6085
196784345,6085
20495051,6085
46894305,6085
196784346,6085
196784347,6085
40992037,6073
36992123,6073
42492123,6073
15591942,6073
20092120,6073
2194550,6001
41192037,6073
41092024,6073
50092056,6073
1591942,6073
196784348,6073
34292025,6073
2692128,6073
42392111,6073
35292064,6073
196784350,6073
42292123,6073
1392120,6073
41391910,6073
42091911,6073
41292103,6073
42192118,6073
12092243,6025
23292104,6073
34392050,6073
34992227,6025
51092103,6073
38792110,6073
196784351,6073
196784352,6073
70192120,6073
52092103,6073
50592037,6073
34491911,6073
58995403,6097
13595490,6045
15895448,6097
31694533,6095
19594590,6095
47995453,6033
27195521,6023
28495437,6045
33895472,6097
34894954,6097
36794558,6055
45295422,6033
37195540,6023
47595531,6015
43995476,6097
17595542,6023
45194574,6055
45795501,6023
48594590,6095
14495501,6023
167795482,6045
45394590,6095
